Symbol,Name,Sector,Industry
BASE,Couchbase Inc. Common Stock,Technology,EDP Services
BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock,Consumer Discretionary,Movies/Entertainment
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,Consumer Discretionary,Movies/Entertainment
BAX,Baxter International Inc. Common Stock,Health Care,Medical/Dental Instruments
BBAR,Banco BBVA Argentina S.A. ADS,Finance,Commercial Banks
BBBY,Bed Bath & Beyond Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
BBCP,Concrete Pumping Holdings Inc. Common Stock,Consumer Discretionary,Military/Government/Technical
BBD,Banco Bradesco Sa American Depositary Shares,Finance,Commercial Banks
BBDC,Barings BDC Inc. Common Stock,Finance,Investment Managers
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Finance,Commercial Banks
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,Consumer Discretionary,Broadcasting
BBIG,Vinco Ventures Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
BBIO,BridgeBio Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BBLG,Bone Biologics Corp Common Stock,Health Care,Industrial Specialties
BBLGW,Bone Biologics Corp Warrants,Health Care,Industrial Specialties
BBLN,Babylon Holdings Limited Class A Ordinary Shares,Health Care,Medical/Nursing Services
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,Finance,Finance Companies
BBSI,Barrett Business Services Inc. Common Stock,Consumer Discretionary,Professional Services
BBW,Build-A-Bear Workshop Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Bath & Body Works Inc.,Miscellaneous,Diversified Commercial Services
BBY,Best Buy Co. Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,Consumer Discretionary,Homebuilding
BCAB,BioAtla Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,Finance,Finance/Investors Services
BCBP,BCB Bancorp Inc. (NJ) Common Stock,Finance,Savings Institutions
BCDA,BioCardia Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BCEL,Atreca Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCML,BayCom Corp Common Stock,Finance,Major Banks
BCO,Brinks Company (The) Common Stock,Technology,Security Systems Services
BCOV,Brightcove Inc. Common Stock,Technology,EDP Services
BCOW,1895 Bancorp of Wisconsin Inc. (MD) Common Stock,Finance,Finance: Consumer Services
BCPC,Balchem Corporation Common Stock,Industrials,Industrial Specialties
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCSF,Bain Capital Specialty Finance Inc. Common Stock,Finance,Finance/Investors Services
BCTX,BriaCell Therapeutics Corp. Common Shares,Health Care,Pharmaceuticals and Biotechnology
BCTXW,BriaCell Therapeutics Corp. Warrant,Health Care,Pharmaceuticals and Biotechnology
BCV,Bancroft Fund Ltd.,Finance,Finance/Investors Services
BCX,BlackRock Resources Common Shares of Beneficial Interest,Finance,Finance/Investors Services
BDC,Belden Inc Common Stock,Telecommunications,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,Finance,Finance Companies
BDL,Flanigan's Enterprises Inc. Common Stock,Consumer Discretionary,Restaurants
BDN,Brandywine Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
BDSX,Biodesix Inc. Common Stock,Health Care,Precision Instruments
BDTX,Black Diamond Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BDX,Becton Dickinson and Company Common Stock,Health Care,Medical/Dental Instruments
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B,Health Care,Medical/Dental Instruments
BEAM,Beam Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
BEAT,Heartbeam Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
BEATW,Heartbeam Inc. Warrant,Technology,Retail: Computer Software & Peripheral Equipment
BECN,Beacon Roofing Supply Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
BEEM,Beam Global Common Stock,Technology,Semiconductors
BEEMW,Beam Global Warrant,Technology,Semiconductors
BEN,Franklin Resources Inc. Common Stock,Finance,Investment Managers
BEP,Brookfield Renewable Partners L.P. ,Utilities,Electric Utilities: Central
BERY,Berry Global Group Inc. Common Stock,Industrials,Plastic Products
BFAM,Bright Horizons Family Solutions Inc. Common Stock,Consumer Discretionary,Other Consumer Services
BFC,Bank First Corporation Common Stock,Finance,Major Banks
BFH,Bread Financial Holdings Inc. Common Stock,Finance,Diversified Financial Services
BFI,BurgerFi International Inc. Common Stock ,Consumer Discretionary,Restaurants
BFIIW,BurgerFi International Inc. Warrant ,Consumer Discretionary,Restaurants
BFIN,BankFinancial Corporation Common Stock,Finance,Major Banks
BFK,BlackRock Municipal Income Trust,Finance,Finance Companies
BFRG,Bullfrog AI Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
BFRI,Biofrontera Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BFRIW,Biofrontera Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations
BFS,Saul Centers Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BFST,Business First Bancshares Inc. Common Stock,Finance,Major Banks
BFZ,BlackRock California Municipal Income Trust,Finance,Finance Companies
BG,Bunge Limited Bunge Limited,Consumer Staples,Farming/Seeds/Milling
BGCP,BGC Partners Inc Class A Common Stock,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation Common Stock,Consumer Discretionary,Other Specialty Stores
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,Finance,Investment Managers
BGR,BlackRock Energy and Resources Trust,Finance,Trusts Except Educational Religious and Charitable
BGRY,Berkshire Grey Inc. Class A Common Stock,Industrials,Office Equipment/Supplies/Services
BGRYW,Berkshire Grey Inc. Warrant,Industrials,Office Equipment/Supplies/Services
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,Consumer Staples,Packaged Foods
BGSF,BGSF Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
BGT,BlackRock Floating Rate Income Trust,Finance,Trusts Except Educational Religious and Charitable
BGXX,Bright Green Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BGY,Blackrock Enhanced International Dividend Trust,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,Consumer Discretionary,Restaurants
BHAC,Crixus BH3 Acquisition Company Class A Common Stock,Industrials,Consumer Electronics/Appliances
BHB,Bar Harbor Bankshares Inc. Common Stock,Finance,Major Banks
BHC,Bausch Health Companies Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology
BHE,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products
BHF,Brighthouse Financial Inc. Common Stock,Finance,Life Insurance
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,Finance,Life Insurance
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,Finance,Life Insurance
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,Finance,Life Insurance
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,Finance,Life Insurance
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,Finance,Life Insurance
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,Finance,Savings Institutions
BHR,Braemar Hotels & Resorts Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BHV,BlackRock Virginia Municipal Bond Trust,Finance,Finance/Investors Services
BIAF,bioAffinity Technologies Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BIAFW,bioAffinity Technologies Inc. Warrant,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BIG,Big Lots Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,Technology,Computer Software: Prepackaged Software
BIIB,Biogen Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BIOC,Biocept Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIOL,Biolase Inc. Common Stock,Health Care,Medical/Dental Instruments
BIOR,Biora Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
BIOS,BioPlus Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks
BIOSU,BioPlus Acquisition Corp. Unit,Finance,Blank Checks
BIOSW,BioPlus Acquisition Corp. Warrants,Finance,Blank Checks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Industrials,Agricultural Chemicals
BIRD,Allbirds Inc. Class A Common Stock,Consumer Discretionary,Shoe Manufacturing
BIVI,BioVie Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BJDX,Bluejay Diagnostics Inc. Common Stock,Health Care,Medical Specialities
BJRI,BJ's Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
BK,The Bank of New York Mellon Corporation Common Stock,Finance,Investment Managers
BKCC,BlackRock Capital Investment Corporation Common Stock,Finance,Investment Managers
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,Utilities,Electric Utilities: Central
BKKT,Bakkt Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),Finance,Finance Companies
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Other Consumer Services
BKR,Baker Hughes Company Class A Common Stock,Energy,Oilfield Services/Equipment
BKSC,Bank of South Carolina Corp. Common Stock,Finance,Major Banks
BKT,BlackRock Income Trust Inc. (The),Finance,Finance Companies
BKTI,BK Technologies Corporation Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
BKU,BankUnited Inc. Common Stock,Finance,Savings Institutions
BKYI,BIO-key International Inc. Common Stock,Technology,Security Systems Services
BL,BlackLine Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLACU,Bellevue Life Sciences Acquisition Corp. Unit,Finance,Blank Checks
BLBD,Blue Bird Corporation Common Stock,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLBX,Blackboxstocks Inc. Common Stock,Technology,EDP Services
BLCM,Bellicum Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BLD,TopBuild Corp. Common Stock,Industrials,Engineering & Construction
BLDE,Blade Air Mobility Inc. Class A Common Stock,Consumer Discretionary,Aerospace
BLDEW,Blade Air Mobility Inc. Warrants,Consumer Discretionary,Aerospace
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BLE,BlackRock Municipal Income Trust II,Finance,Finance/Investors Services
BLEU,bleuacacia ltd Class A Ordinary Shares,Finance,Blank Checks
BLEUR,bleuacacia ltd Rights,Finance,Blank Checks
BLEUW,bleuacacia ltd Warrants,Finance,Blank Checks
BLFS,BioLife Solutions Inc. Common Stock,Health Care,Medical/Dental Instruments
BLFY,Blue Foundry Bancorp Common Stock,Finance,Commercial Banks
BLI,Berkeley Lights Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
BLIN,Bridgeline Digital Inc. Common Stock,Technology,EDP Services
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
BLKB,Blackbaud Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,Consumer Discretionary,Restaurants
BLNG,Belong Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
BLNGU,Belong Acquisition Corp. Units,Industrials,Consumer Electronics/Appliances
BLNGW,Belong Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
BLNK,Blink Charging Co. Common Stock,Industrials,Oilfield Services/Equipment
BLPH,Bellerophon Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BLTE,Belite Bio Inc American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BLU,BELLUS Health Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology
BLUE,bluebird bio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLW,Blackrock Limited Duration Income Trust,Finance,Trusts Except Educational Religious and Charitable
BLZE,Backblaze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance,Commercial Banks
BMAQ,Blockchain Moon Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
BMAQR,Blockchain Moon Acquisition Corp. Rights,Finance,Blank Checks
BMAQW,Blockchain Moon Acquisition Corp. Warrants,Industrials,Consumer Electronics/Appliances
BMBL,Bumble Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BME,Blackrock Health Sciences Trust,Finance,Trusts Except Educational Religious and Charitable
BMEA,Biomea Fusion Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BMI,Badger Meter Inc. Common Stock,Industrials,Industrial Machinery/Components
BMRA,Biomerica Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BMRC,Bank of Marin Bancorp Common Stock,Finance,Major Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BN,Brookfield Corporation Class A Limited Voting Shares,Consumer Discretionary,Other Consumer Services
BNED,Barnes & Noble Education Inc Common Stock,Consumer Discretionary,Other Specialty Stores
BNGO,Bionano Genomics Inc. Common Stock,Health Care,Medical/Dental Instruments
BNGOW,Bionano Genomics Inc. Warrant,Health Care,Medical/Dental Instruments
BNIX,Bannix Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
BNIXR,Bannix Acquisition Corp. Right,Finance,Blank Checks
BNIXW,Bannix Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
BNL,Broadstone Net Lease Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BNNR,Banner Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
BNNRU,Banner Acquisition Corp. Units,Industrials,Consumer Electronics/Appliances
BNNRW,Banner Acquisition Corp. Warrants,Industrials,Consumer Electronics/Appliances
BNOX,Bionomics Limited American Depository Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BNTC,Benitec Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BNY,BlackRock New York Municipal Income Trust,Finance,Finance Companies
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks
BOC,Boston Omaha Corporation Class A Common Stock,Consumer Discretionary,Advertising
BOCN,Blue Ocean Acquisition Corp Class A Ordinary Shares,Finance,Blank Checks
BOCNU,Blue Ocean Acquisition Corp Unit,Finance,Blank Checks
BOCNW,Blue Ocean Acquisition Corp Warrants,Finance,Blank Checks
BODY,The Beachbody Company Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,Finance,Finance Companies
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks
BOLT,Bolt Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BOTJ,Bank of the James Financial Group Inc. Common Stock,Finance,Major Banks
BOWL,Bowlero Corp. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BOXL,Boxlight Corporation Class A Common Stock,Telecommunications,Telecommunications Equipment
BPAC,Bullpen Parlay Acquisition Company Class A Ordinary Share,Finance,Blank Checks
BPACU,Bullpen Parlay Acquisition Company Unit,Finance,Blank Checks
BPACW,Bullpen Parlay Acquisition Company Warrant,Finance,Blank Checks
BPMC,Blueprint Medicines Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BPOP,Popular Inc. Common Stock,Finance,Major Banks
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Finance,Major Banks
BPRN,Princeton Bancorp Inc. Common Stock (PA),Finance,Major Banks
BPT,BP Prudhoe Bay Royalty Trust Common Stock,Energy,Integrated oil Companies
BPTH,Bio-Path Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BR,Broadridge Financial Solutions Inc. Common Stock,Consumer Discretionary,Business Services
BRAC,Broad Capital Acquisition Corp Common Stock,Industrials,Consumer Electronics/Appliances
BRACU,Broad Capital Acquisition Corp Unit,Industrials,Consumer Electronics/Appliances
BRBR,BellRing Brands Inc. Common Stock ,Consumer Staples,Beverages (Production/Distribution)
BRC,Brady Corporation Common Stock,Technology,Security Systems Services
BREZ,Breeze Holdings Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
BREZR,Breeze Holdings Acquisition Corp. Right,Finance,Blank Checks
BREZW,Breeze Holdings Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
BRFH,Barfresh Food Group Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
BRFS,BRF S.A.,Consumer Staples,Meat/Poultry/Fish
BRID,Bridgford Foods Corporation Common Stock,Consumer Staples,Specialty Foods
BRIV,B. Riley Principal 250 Merger Corp. Class A common stock,Industrials,Consumer Electronics/Appliances
BRIVU,B. Riley Principal 250 Merger Corp. Units,Industrials,Consumer Electronics/Appliances
BRIVW,B. Riley Principal 250 Merger Corp. Warrant,Industrials,Consumer Electronics/Appliances
BRKH,BurTech Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
BRKHU,BurTech Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
BRKHW,BurTech Acquisition Corp. Warrants,Industrials,Consumer Electronics/Appliances
BRKL,Brookline Bancorp Inc. Common Stock,Finance,Savings Institutions
BRKR,Bruker Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BRLT,Brilliant Earth Group Inc. Class A Common Stock,Consumer Discretionary,Consumer Specialties
BRMK,Broadmark Realty Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BRN,Barnwell Industries Inc. Common Stock,Energy,Oil & Gas Production
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers
BRT,BRT Apartments Corp. (MD) Common Stock,Real Estate,Real Estate Investment Trusts
BRTX,BioRestorative Therapies Inc. Common Stock (NV),Health Care,Managed Health Care
BRW,Saba Capital Income & Opportunities Fund SBI,Finance,Trusts Except Educational Religious and Charitable
BRY,Berry Corporation (bry) Common Stock,Energy,Oil & Gas Production
BRZE,Braze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks
BSET,Bassett Furniture Industries Incorporated Common Stock,Consumer Discretionary,Home Furnishings
BSFC,Blue Star Foods Corp. Common Stock,Consumer Staples,Farming/Seeds/Milling
BSGM,BioSig Technologies Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Finance,Commercial Banks
BSQR,BSQUARE Corporation Common Stock,Consumer Discretionary,Business Services
BSRR,Sierra Bancorp Common Stock,Finance,Major Banks
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,Finance,Finance Companies
BSVN,Bank7 Corp. Common stock,Finance,Major Banks
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BTAI,BioXcel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BTBD,BT Brands Inc. Common Stock,Consumer Discretionary,Restaurants
BTBDW,BT Brands Inc. Warrant,Consumer Discretionary,Restaurants
BTBT,Bit Digital Inc. Ordinary Shares,Finance,Finance: Consumer Services
BTCS,BTCS Inc. Common Stock,Finance,Investment Managers
BTCY,Biotricity Inc. Common Stock,Health Care,Medical/Dental Instruments
BTE,Baytex Energy Corp Common Shares,Consumer Staples,Meat/Poultry/Fish
BTMD,Biote Corp. Class A Common Stock,Health Care,Managed Health Care
BTMDW,Biote Corp. Warrant,Health Care,Managed Health Care
BTO,John Hancock Financial Opportunities Fund Common Stock,Finance,Finance Companies
BTOG,Bit Origin Limited Ordinary Shares,Consumer Staples,Meat/Poultry/Fish
BTT,BlackRock Municipal 2030 Target Term Trust,Finance,Investment Managers
BTTX,Better Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining
BTZ,BlackRock Credit Allocation Income Trust,Finance,Finance Companies
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,Finance,Trusts Except Educational Religious and Charitable
BUSE,First Busey Corporation Class A Common Stock,Finance,Major Banks
BV,BrightView Holdings Inc. Common Stock,Consumer Discretionary,Business Services
BVH,Bluegreen Vacations Holding Corporation Class A Common Stock,Consumer Discretionary,Hotels/Resorts
BVS,Bioventus Inc. Class A Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Technology,Industrial Machinery/Components
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
BWAC,Better World Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances
BWACW,Better World Acquisition Corp. Warrants,Industrials,Consumer Electronics/Appliances
BWAQ,Blue World Acquisition Corporation Class A Ordinary Shares,Finance,Blank Checks
BWAQR,Blue World Acquisition Corporation Right,Finance,Blank Checks
BWB,Bridgewater Bancshares Inc. Common Stock,Finance,Major Banks
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks
BWEN,Broadwind Inc. Common Stock,Industrials,Industrial Machinery/Components
BWFG,Bankwell Financial Group Inc. Common Stock,Finance,Major Banks
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,Finance,Finance/Investors Services
BWMN,Bowman Consulting Group Ltd. Common Stock,Consumer Discretionary,Military/Government/Technical
BWMX,Betterware de Mexico S.A.P.I. de C.V. Ordinary Shares,Consumer Discretionary,Catalog/Specialty Distribution
BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026,Industrials,Building Products
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026,Industrials,Building Products
BWV,Blue Water Vaccines Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BX,Blackstone Inc. Common Stock,Finance,Investment Managers
BXC,Bluelinx Holdings Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers
BXP,Boston Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BXRX,Baudax Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BY,Byline Bancorp Inc. Common Stock,Finance,Major Banks
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Movies/Entertainment
BYFC,Broadway Financial Corporation Common Stock,Finance,Savings Institutions
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,Finance,Investment Managers
BYND,Beyond Meat Inc. Common Stock,Consumer Staples,Specialty Foods
BYRN,Byrna Technologies Inc. Common Stock,Consumer Discretionary,Military/Government/Technical
BYSI,BeyondSpring Inc. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BYTS,BYTE Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks
BYTSU,BYTE Acquisition Corp. Units,Finance,Blank Checks
BZFD,BuzzFeed Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
BZFDW,BuzzFeed Inc. Warrant,Consumer Discretionary,Movies/Entertainment
BZH,Beazer Homes USA Inc. Common Stock,Consumer Discretionary,Homebuilding
C,Citigroup Inc. Common Stock,Finance,Major Banks
CABA,Cabaletta Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CABO,Cable One Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment
CAC,Camden National Corporation Common Stock,Finance,Major Banks
CACC,Credit Acceptance Corporation Common Stock,Finance,Finance: Consumer Services
CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services
CADE,Cadence Bank Common Stock,Finance,Major Banks
CADL,Candel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,Finance,Investment Managers
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Discretionary,Restaurants
CAL,Caleres Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
CALB,California BanCorp Common Stock,Finance,Major Banks
CALM,Cal-Maine Foods Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
CALX,Calix Inc Common Stock,Technology,Computer Software: Prepackaged Software
CAMP,CalAmp Corp. Common Stock,Consumer Discretionary,Telecommunications Equipment
CAPR,Capricor Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies
CARA,Cara Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CARE,Carter Bankshares Inc. Common Stock,Finance,Major Banks
CARV,Carver Bancorp Inc. Common Stock,Finance,Savings Institutions
CASA,Casa Systems Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
CASH,Pathward Financial Inc. Common Stock,Finance,Banks
CASI,CASI Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASS,Cass Information Systems Inc Common Stock,Consumer Discretionary,Business Services
